Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 1C,Selasa,8,13.15 - 14.00,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
IL 1C,Selasa,9,14.00 - 14.45,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
IL 1C,Rabu,2,07.45 - 08.30,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabPLC,AR
IL 1C,Rabu,3,08.30 - 09.15,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabPLC,AR
IL 1C,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Rabu,4,09.35 - 10.20,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabPLC,AR
IL 1C,Rabu,5,10.20 - 11.05,433-241-108,Pendidikan Agama,"Khamami, S.Ag., MM",GKT.711,KM
IL 1C,Rabu,6,11.05 - 11.50,433-241-108,Pendidikan Agama,"Khamami, S.Ag., MM",GKT.711,KM
IL 1C,Kamis,1,07.00 - 07.45,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,2,07.45 - 08.30,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,3,08.30 - 09.15,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Kamis,4,09.35 - 10.20,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,5,10.20 - 11.05,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,6,11.05 - 11.50,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1C,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Kamis,7,12.30 - 13.15,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",LabMikro,AH
IL 1C,Kamis,8,13.15 - 14.00,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",LabMikro,AH
IL 1C,Kamis,9,14.00 - 14.45,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",LabMikro,AH
IL 1C,Jumat,1,07.00 - 07.45,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",LabMikro,SY
IL 1C,Jumat,2,07.45 - 08.30,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",LabMikro,SY
IL 1C,Jumat,3,08.30 - 09.15,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",LabMikro,SY
IL 1C,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Jumat,4,09.35 - 10.20,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",LabMikro,SY
IL 1C,Jumat,8,13.15 - 14.00,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1C,Jumat,9,14.00 - 14.45,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1C,Jumat,10,14.45 - 15.30,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1C,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Jumat,11,16.00 - 16.45,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 2A,Senin,1,07.00 - 07.45,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2A,Senin,2,07.45 - 08.30,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2A,Senin,3,08.30 - 09.15,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Senin,7,12.30 - 13.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,8,13.15 - 14.00,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,9,14.00 - 14.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,10,14.45 - 15.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Senin,11,16.00 - 16.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,12,16.45 - 17.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,13,17.30 - 18.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Senin,14,18.45 - 19.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Selasa,7,12.30 - 13.15,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,8,13.15 - 14.00,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,9,14.00 - 14.45,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,10,14.45 - 15.30,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
